stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00139] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00176] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00654] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.16518] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.16582] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.16597] al_display=0000027580510E00
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.16610] al_display->vt=0000027580577580
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17244] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.17261] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17272] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17280] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17289] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17300] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17311] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17319] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17329] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17338] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17348] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17358] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17367] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17376] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17384] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17392] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17400] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17407] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17416] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17424] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17433] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17446] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17457] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17467] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17475] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17483] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17492] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17501] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17510] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17516] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17525] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17534] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17543] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17552] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17561] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17569] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17578] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17586] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17595] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17604] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17611] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17620] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17630] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17639] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17647] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17654] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17661] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17669] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17677] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17694] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17703] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17710] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17717] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17733] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17744] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17755] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17764] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
