stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00122] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00207] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00366] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.12903] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.13026] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.13030] al_display=00000237DB692470
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.13033] al_display->vt=00000237DB7AAA90
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13417] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.13434] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13439] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13441] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13444] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13446] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13448] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13449] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13452] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13454] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13456] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13457] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13459] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13463] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13465] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13467] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13468] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13471] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13472] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13474] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13482] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13485] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13487] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13489] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13491] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13493] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13494] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13497] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13498] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13501] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13502] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13504] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13506] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13508] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13510] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13512] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13514] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13516] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13517] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13519] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13521] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13523] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13525] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13527] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13529] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13531] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13532] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13534] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13538] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13540] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13542] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13544] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13548] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13550] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13553] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13554] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
